,Capital,Country,Latitude,Longitude,AvgRatings,Ratings
24,Doha,Qatar,25.2856329,51.5264162,8.3,"{'4ce11c2c94c3b60c68bd74ea': 8.3, '4b9d2789f964a520819436e3': 8.3, '5544cf0b498e6ee50a6249fc': 8.3, '58cece914bafb74648ea47bc': 8.3, '523a7fea11d2a9859dd064dc': 8.3}"
25,Dublin,Ireland,53.3497645,-6.2602732,7.3,"{'5290d704498e2d5c6000a181': 7.3, '4af1ea70f964a5205ee421e3': 7.3, '4e86d3266c25bffb164c5bd2': 7.3, '4e450bd2922ed454ab37b377': 7.3, '4af9a658f964a520e31222e3': 7.3}"
26,Guatemala City,Guatemala,14.6222328,-90.5185188,9.0,"{'5628e1b1498e2c6aac7934b1': 9.0, '55a808e8498e079a25bd42c0': 9.0, '4e860b4193ad9dc261dfb7b0': 9.0, '53363c54498ed4b327b7c919': 9.0, '565e1c4b498e70d23e2dc977': 9.0}"
27,Hanoi,Vietnam,21.029449800000002,105.85444409999998,8.7,"{'590d4a5e1108ba582673bec7': 8.7, '53d9d5e3498e8e6564986472': 8.7, '53ca9960498e9c4028310f03': 8.7, '53c3c697498eef9fa6d3c45a': 8.7, '541c0db5498e1c8f3cf1cf6e': 8.7}"
28,Helsinki,Finland,60.1713198,24.941456600000002,7.5,"{'5238643c11d2c1029cc5e106': 7.5, '5631da7f498e6bc22611e957': 7.5, '4f6c54e1e4b01489b8818e55': 7.5, '55edf5ed498e084929c468ec': 7.5, '57b8546e498e3f2ad5fe03d7': 7.5}"
29,Jakarta,Indonesia,-6.1753942,106.827183,7.3,"{'51047707e4b0059ce06c2cf0': 7.3, '5783a0ff498ee3d0ff7299de': 7.3, '4b2b0e82f964a5201db424e3': 7.3, '534e4273498eb5f7aa4bd86e': 7.3, '4e500fd81fc7e04d29e3287e': 7.3}"
30,Kingston,Jamaica,17.971214800000002,-76.79281280000001,0.0,"{'5c1e96895455b2002cab2179': 0.0, '5b08c3ff59c423002c46a5d6': 0.0}"
31,Kuala Lumpur,Malaysia,3.1516636,101.69430279999999,6.8,"{'5902d2f4646e387f2b2d705c': 6.8, '538daac6498e5865fbe6c3de': 6.8, '4bb31152a32876b0644801fe': 6.8, '543f4516498eab720ac1fac7': 6.8, '5245195811d22892e8b6452b': 6.8}"
32,Kuwait City,Kuwait,29.379709100000003,47.9735629,9.3,"{'5644fad1498e387283e35085': 9.3, '58a025a003e29a66d99c5d5d': 9.3, '4bd16d5b41b9ef3bb4e7fbe5': 9.3, '52410d53498eb5e83997860f': 9.3, '58399782288b6a0d9c0c30bf': 9.3}"
33,Lima,Peru,-12.0621065,-77.03652559999999,8.2,"{'52462e2911d2d573d4b3278e': 8.2, '51223a58e4b0e64a46dc0a23': 8.2, '555145f3498ee5a0e4685312': 8.2, '5330f000498ec968afff160a': 8.2, '57732c1e498ed68956a1d148': 8.2}"
34,Lisbon,Portugal,38.707750700000005,-9.1365919,8.3,"{'4c10f43281e976b08deb0feb': 8.3, '4b3fc213f964a5201bae25e3': 8.3, '547f1de1498edb5a93db226c': 8.3, '4b0d9ff3f964a5208b4c23e3': 8.3, '51ef5864498e35753486e1b5': 8.3}"
